date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:55:23	82193/82193	---M-Z	200	added ('OK')	text/html	etag:W/%225fd18d92-14111%22	https://sadim2.github.io/wordpress12/	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/index.html	(from )
01:55:24	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e6d4198-239b%22	https://sadim2.github.io/robots.txt		(from )
01:55:24	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f727f68-247b%22	https://sadim2.github.io/wordpress12/index.php/feed/	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/index.php/feed/index.html	(from https://sadim2.github.io/wordpress12/)
01:55:24	87559/87559	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-15607%22	https://sadim2.github.io/wordpress12/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.6.1	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/themes/astra/assets/css/minified/style.minc141.css	(from https://sadim2.github.io/wordpress12/)
01:55:25	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://sadim2.github.io/wordpress12/index.php/comments/feed/	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/index.php/comments/feed/index.html	(from https://sadim2.github.io/wordpress12/)
01:55:25	3304/3304	---M--	200	added ('OK')	font/woff	etag:%225fd18d92-ce8%22	https://sadim2.github.io/wordpress12/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/themes/astra/assets/fonts/astra.woff	(from https://sadim2.github.io/wordpress12/)
01:55:26	776/776	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-308%22	https://sadim2.github.io/wordpress12/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.3	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementore225.css	(from https://sadim2.github.io/wordpress12/)
01:55:27	53907/53907	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-d293%22	https://sadim2.github.io/wordpress12/wp-includes/css/dist/block-library/style.min.css?ver=5.5.1	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-includes/css/dist/block-library/style.mind03b.css	(from https://sadim2.github.io/wordpress12/)
01:55:27	16636/16636	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-40fc%22	https://sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min74e5.css	(from https://sadim2.github.io/wordpress12/)
01:55:27	18468/18468	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-4824%22	https://sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.14	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/animations/animations.minc578.css	(from https://sadim2.github.io/wordpress12/)
01:55:28	3855/3855	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-f0f%22	https://sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.0.14	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/css/frontend-legacy.minc578.css	(from https://sadim2.github.io/wordpress12/)
01:55:28	112213/112213	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-1b655%22	https://sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.0.14	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/css/frontend.minc578.css	(from https://sadim2.github.io/wordpress12/)
01:55:29	948/948	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-3b4%22	https://sadim2.github.io/wordpress12/wp-content/uploads/elementor/css/post-333.css?ver=1607567983	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/uploads/elementor/css/post-333bf67.css	(from https://sadim2.github.io/wordpress12/)
01:55:31	26702/26702	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-684e%22	https://sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.0.14	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minc578.css	(from https://sadim2.github.io/wordpress12/)
01:55:31	74372/74372	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-12284%22	https://sadim2.github.io/wordpress12/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.5.3	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontende225.css	(from https://sadim2.github.io/wordpress12/)
01:55:31	40735/40735	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-9f1f%22	https://sadim2.github.io/wordpress12/wp-content/uploads/elementor/css/post-566.css?ver=1607567991	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/uploads/elementor/css/post-566f001.css	(from https://sadim2.github.io/wordpress12/)
01:55:32	3853/3853	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-f0d%22	https://sadim2.github.io/wordpress12/wp-content/uploads/elementor/css/post-292.css?ver=1607567991	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/uploads/elementor/css/post-292f001.css	(from https://sadim2.github.io/wordpress12/)
01:55:32	57180/57180	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-df5c%22	https://sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.14	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minc578.css	(from https://sadim2.github.io/wordpress12/)
01:55:32	55753/55753	---M-Z	200	added ('OK')	text/css	etag:W/%225fd18d92-d9c9%22	https://sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.12.0	C:/My%20Web%20Sites/sample/sadim2.github.io/wordpress12/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css	(from https://sadim2.github.io/wordpress12/)
